id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,5.7,120,1,29.0,9,2,3.5,71,5,0,0,0,2,-2,17580,5023,0.6,7.0,4.5,4.0,5.0,34,3,,,94,13,334,8,730,85,228,13,,,,,,,,0.0,0.0,0.0,0.6,1.88,0.62,0.38,1.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77036.0,26779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.3,587,35,0.5,239,34,0.0,502,71,0,0,0,-2,2,36,306,0.0,0.0,1.0,0.5,0.0,548,76,,,542,76,529,63,500,51,545,76,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864+00:00,4.0,655,65,0.3,309,44,0.0,461,55,0,0,0,0,0,0,241,0.0,0.0,0.0,0.0,0.0,511,60,0.0,0.0,503,60,488,46,458,34,506,60,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Tommy,Setford,Setford,a,,,4.0,682,76,0.2,349,53,0.0,483,66,0,0,0,0,0,73,136,0.0,0.0,1.0,0.5,0.0,531,71,,,523,71,508,57,479,45,526,71,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gabriel,dos Santos Magalhães,Gabriel,d,Muscle injury - 75% chance of playing,2025-10-24T14:00:07.880778+00:00,6.4,65,1,35.0,4,1,8.5,2,1,0,0,0,4,-4,23598,30341,1.3,9.2,7.1,6.8,7.4,3,1,75.0,75.0,12,5,254,81,102,17,81,21,,,,,,,,0.09,0.01,0.1,0.6,0.0,0.62,0.38,1.0,9.38,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231891.0,82787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Riccardo,Calafiori,Calafiori,a,,,5.8,115,10,15.3,25,9,3.2,85,31,0,0,0,3,-3,16976,4363,0.6,8.3,4.2,3.7,6.0,12,8,,,127,57,116,25,47,4,84,24,,,,,,,,0.28,0.02,0.3,0.57,0.0,0.73,0.44,1.17,4.98,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68895.0,25500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jurriën,Timber,J.Timber,a,,,6.0,86,4,22.5,16,7,4.8,31,10,0,0,0,5,-5,46152,3091,0.8,9.0,5.8,5.3,6.8,4,2,,,27,9,42,8,18,1,15,1,,,,,,,,0.28,0.08,0.36,0.55,0.0,0.59,0.44,1.03,7.22,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204385.0,21497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Jakub,Kiwior,Kiwior,u,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594+00:00,5.4,181,23,0.1,562,203,0.0,709,242,0,0,0,-1,1,0,13,0.0,0.0,0.0,0.0,0.0,724,245,0.0,0.0,722,245,721,245,719,244,724,245,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Myles,Lewis-Skelly,Lewis-Skelly,a,,,5.2,228,32,1.7,141,55,0.5,315,109,0,0,0,-3,3,955,1156,0.1,0.8,1.5,1.0,0.8,424,141,,,392,146,345,117,350,125,398,143,,,,,,,,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,4.34,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2504.0,4802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Fábio,Ferreira Vieira,Fábio Vieira,u,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321+00:00,5.4,180,111,0.0,649,270,0.0,708,308,0,0,0,-1,1,0,13,0.0,0.0,0.0,0.0,0.0,723,317,0.0,0.0,721,316,720,317,718,316,723,317,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Benjamin,White,White,a,,2025-09-18T04:00:07.77828+00:00,5.4,169,20,0.4,259,98,0.0,704,240,0,0,0,-1,1,300,282,0.0,1.1,1.0,0.5,6.0,10,7,100.0,100.0,367,136,321,112,374,134,384,136,,,,,,,,0.01,0.01,0.02,1.12,0.0,1.29,0.0,1.29,10.29,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,1379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Brayden,Clarke,Clarke,a,,,3.9,735,236,0.5,243,90,0.0,416,160,0,0,0,-1,1,253,378,0.0,0.0,1.0,0.5,0.0,466,175,,,459,175,441,173,410,164,461,174,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,1573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Maldini,Kacurri,Kacurri,u,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843+00:00,3.9,740,240,0.1,414,156,0.0,420,163,0,0,0,-1,1,0,152,0.0,0.0,0.0,0.0,0.0,470,178,0.0,0.0,463,178,445,176,414,167,465,177,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Christian,Nørgaard,Nørgaard,a,,2025-08-18T08:00:05.297235+00:00,5.3,198,124,0.1,396,131,0.2,368,174,0,0,0,-2,2,45,94,0.0,0.2,1.2,0.7,1.0,397,191,100.0,100.0,424,200,713,313,709,311,428,202,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Ethan,Nwaneri,Nwaneri,a,,,5.2,229,143,0.2,393,130,0.2,367,173,0,0,0,-3,3,79,184,0.0,1.2,1.2,0.7,1.5,320,153,,,387,180,268,157,256,140,344,167,4.0,3.0,,,,,,0.12,0.05,0.17,0.2,0.0,0.62,0.0,0.0,5.59,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Martín,Zubimendi Ibáñez,Zubimendi,a,,,5.5,151,96,3.9,86,27,2.0,160,81,0,0,0,0,0,2956,6591,0.4,6.4,3.0,2.5,4.4,60,22,,,79,27,66,49,160,94,86,48,,,,,,,,0.03,0.11,0.14,0.58,0.0,0.66,0.4,0.93,7.8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12935.0,32268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Ismeal,Kabia,Kabia,u,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511+00:00,4.5,472,282,0.1,422,142,0.0,624,253,0,0,0,0,0,0,102,0.0,0.0,0.0,0.0,0.0,660,275,0.0,0.0,653,271,646,271,629,262,656,272,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Gabriel,Fernando de Jesus,G.Jesus,i,Knee injury - Expected back 30 Dec,2025-07-21T10:00:04.697564+00:00,6.4,63,21,0.0,601,75,0.0,733,77,0,0,0,-1,1,16,23,0.0,0.0,0.0,0.0,0.0,738,79,0.0,0.0,737,78,737,78,738,79,738,79,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,Viktor,Gyökeres,Gyökeres,a,,,9.0,6,3,22.7,15,3,1.5,212,21,0,0,0,0,0,19628,18241,0.2,3.1,2.5,2.0,3.5,118,12,,,121,12,123,9,6,4,26,6,,,2.0,,,,,0.46,0.06,0.52,0.53,0.0,0.54,0.41,1.08,3.24,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76276.0,145771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,Max,Dowman,Dowman,a,,,4.4,578,326,0.3,300,104,0.0,569,211,0,0,0,-1,1,438,744,0.0,1.1,1.0,0.5,2.5,210,94,,,422,199,387,195,236,132,383,180,,,,,,,,0.47,0.07,0.54,0.4,0.0,0.0,0.0,0.0,10.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487.0,2841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,Andre,Harriman-Annous,Harriman-Annous,a,,,4.5,489,295,0.0,690,297,0.0,637,265,0,0,0,0,0,4,8,0.0,0.0,1.0,0.5,0.0,670,284,,,667,283,659,282,643,274,670,284,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Álex,Moreno Lopera,Alex Moreno,u,Has joined Girona permanently.,2025-08-26T13:45:03.013808+00:00,4.0,622,161,2.6,113,43,0.0,432,168,0,0,0,0,0,0,2124,0.0,0.0,0.0,0.0,0.0,482,183,0.0,0.0,475,183,459,181,429,173,477,182,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Lamare,Bogarde,Bogarde,a,,,4.0,675,188,0.7,203,78,1.0,244,78,0,0,0,0,0,326,530,0.2,3.8,0.0,0.5,2.5,209,78,,,349,130,228,65,326,110,337,112,,,,,,,,0.0,0.03,0.03,1.05,0.0,0.32,0.64,0.96,2.55,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,2907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Lino,da Cruz Sousa,Sousa,a,,,4.0,674,187,0.3,304,109,0.0,476,186,0,0,0,0,0,105,167,0.0,0.0,-1.0,-0.5,0.0,525,200,,,517,199,502,198,472,190,520,199,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Yasin,Özcan,Yasin,u,has joined Anderlecht on loan for the rest of the season.,2025-09-22T21:15:59.805053+00:00,4.0,691,199,0.2,395,146,0.0,492,197,0,0,0,0,0,0,133,0.0,0.0,0.0,0.0,0.0,539,209,0.0,0.0,532,209,517,208,488,201,535,209,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Youri,Tielemans,Tielemans,d,Calf injury - 25% chance of playing,2025-09-14T22:00:07.795199+00:00,5.9,95,62,0.6,217,70,0.0,726,320,0,0,0,-1,1,3,566,0.0,1.4,-0.2,-0.1,2.0,275,130,25.0,25.0,302,138,117,85,228,129,240,120,3.0,,4.0,,,,,0.04,0.11,0.15,1.85,0.0,0.29,1.14,1.14,6.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Leandro,Trossard,Trossard,a,,2025-08-29T18:30:07.88549+00:00,6.9,38,23,0.4,264,91,3.8,59,29,0,0,0,-1,1,947,310,0.6,3.2,4.8,4.3,3.7,104,41,100.0,100.0,200,84,79,57,52,28,100,53,,,4.0,,,,,0.3,0.15,0.45,0.56,0.0,0.48,0.48,0.97,3.87,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5482.0,1277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Declan,Rice,Rice,a,,2025-10-04T20:00:07.968078+00:00,6.6,50,34,12.5,34,13,5.8,15,6,0,0,0,1,-1,26871,5141,0.9,6.5,6.8,6.3,5.4,22,7,100.0,100.0,61,21,10,9,178,101,29,20,2.0,1.0,,,,,,0.07,0.18,0.25,0.59,0.0,0.57,0.43,1.0,7.69,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152206.0,23559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Mikel,Merino Zazón,Merino,a,,,5.9,98,65,0.6,219,71,2.0,161,82,0,0,0,-1,1,562,959,0.3,2.7,3.0,2.5,2.3,233,107,,,214,93,187,122,109,67,198,104,,,,,,,,0.11,0.04,0.15,0.59,0.0,0.67,0.33,1.0,10.33,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897.0,5186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Leon,Bailey,Bailey,u,Has joined AS Roma on loan for the rest of the season.,2025-08-20T13:31:56.843157+00:00,5.5,144,91,0.1,490,168,0.0,719,315,0,0,0,0,0,0,41,0.0,0.0,0.0,0.0,0.0,730,322,0.0,0.0,728,321,728,322,727,321,730,322,8.0,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,John,McGinn,McGinn,a,,,5.4,163,101,0.7,208,66,2.8,110,56,0,0,0,-1,1,544,803,0.5,4.3,1.8,2.3,2.9,179,76,,,155,57,44,34,194,109,104,56,6.0,6.0,,,,,,0.09,0.13,0.22,1.26,0.0,0.42,0.85,1.13,6.93,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2142.0,4510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Ross,Barkley,Barkley,a,,2025-08-10T22:00:04.469618+00:00,4.8,356,222,0.0,602,238,0.5,308,147,0,0,0,-2,2,41,21,0.1,0.4,-0.5,0.0,1.0,378,177,100.0,100.0,414,194,379,192,315,167,404,190,,,,,,,,1.03,0.0,1.03,1.48,0.0,0.0,0.0,0.0,25.71,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Enzo,Barrenechea,Barrenechea,u,Season-long loan to Benfica,2025-07-22T13:50:13.193555+00:00,5.0,276,170,0.0,745,331,0.0,687,296,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,709,309,0.0,0.0,706,308,704,308,697,304,709,309,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Lewis,Dobbin,Dobbin,u,Has joined Preston North End on loan for the rest of the season.,2025-08-26T13:44:19.058961+00:00,5.0,270,166,0.0,629,258,0.0,682,292,0,0,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,704,305,0.0,0.0,701,304,698,304,691,300,704,305,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,Harvey,Elliott,Elliott,n,Ineligible to face his parent club on 1/11. - Expected back 09 Nov,2025-10-25T23:00:08.101116+00:00,5.4,182,112,0.3,294,101,0.2,373,177,0,0,0,-1,1,110,788,0.0,0.7,0.0,-0.3,1.0,402,195,0.0,,385,178,289,166,267,146,352,171,,,,,,,,0.18,0.06,0.24,1.61,0.0,0.0,1.86,0.93,4.64,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,4734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,Evann,Guessand,Guessand,a,,,6.3,75,52,0.0,595,234,1.2,236,121,0,0,0,-2,2,29,50,0.2,1.7,0.2,0.7,1.6,311,145,,,275,123,271,158,152,90,264,131,,,,,,,,0.08,0.08,0.16,1.36,0.0,0.26,1.05,1.05,9.21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,James,Wright,Wright,a,,,4.0,663,68,0.5,235,33,0.0,466,58,0,0,0,0,0,25,149,0.0,0.0,-1.0,-0.5,0.0,515,63,,,507,63,492,49,462,37,510,63,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,Triston,Rowe,Rowe,u,has joined Annecy on loan for the rest of the season.,2025-09-22T21:15:59.825051+00:00,4.0,688,196,0.1,479,176,0.0,489,194,0,0,0,0,0,0,85,0.0,0.0,0.0,0.0,0.0,537,207,0.0,0.0,529,206,514,205,485,198,532,206,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Connor,Roberts,Roberts,i,Achilles injury - Unknown return date,2025-08-22T12:30:06.986449+00:00,4.4,506,117,0.0,609,213,0.0,523,215,0,0,0,-1,1,3,35,0.0,0.0,0.0,0.0,0.0,565,224,0.0,0.0,558,224,547,224,522,219,561,224,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Maxime,Estève,Estève,a,,,4.0,661,180,12.9,32,11,1.8,165,57,0,0,0,0,0,1956,4264,0.4,5.8,0.8,1.3,2.9,174,67,,,70,31,301,102,221,58,167,54,,,,,,,,0.02,0.0,0.02,2.05,0.0,0.25,1.9,1.01,10.24,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16300.0,26869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Bashir,Humphreys,Humphreys,a,,2025-08-10T22:00:04.55738+00:00,4.0,649,174,0.1,534,194,0.0,455,177,0,0,0,0,0,37,42,0.0,0.0,-1.0,-0.5,0.0,505,192,100.0,100.0,426,149,482,190,452,182,500,191,,,,,,,,0.0,0.0,0.0,27.9,0.0,0.0,90.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,111.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Jordan,Beyer,Jordan,i,Hamstring injury - Unknown return date,2025-08-22T12:30:07.019474+00:00,4.0,640,168,0.1,506,185,0.0,449,174,0,0,0,0,0,0,45,0.0,0.0,0.0,0.0,0.0,499,189,0.0,0.0,492,189,476,187,446,179,494,188,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,Eberechi,Eze,Eze,a,,,7.6,21,14,13.3,31,12,2.8,114,60,0,0,0,1,-1,5008,13290,0.4,3.3,3.8,3.3,3.6,115,49,,,201,85,105,76,36,19,87,49,1.0,1.0,1.0,,,,,0.27,0.17,0.44,0.65,0.0,0.79,0.4,0.99,5.34,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25599.0,72267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,Cristhian,Mosquera,Mosquera,a,,,5.4,187,25,0.2,378,137,0.2,374,131,0,0,0,-1,1,163,229,0.0,2.2,1.2,0.7,2.4,225,84,,,245,94,371,133,351,126,330,109,,,,,,,,0.0,0.01,0.01,0.41,0.0,0.36,0.73,0.73,8.38,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Joe,Gauci,Gauci,u,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391+00:00,4.0,654,64,0.1,423,65,0.0,460,54,0,0,0,0,0,0,44,0.0,0.0,0.0,0.0,0.0,510,59,0.0,0.0,502,59,487,45,457,33,505,59,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
